"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"SANTILLANA",7876961.39,5647466.75,0,420,0
"SIVIA",14813322.81,12825323.65,2,7500,0
"LLOCHEGUA",41326368.64,31148237.91,15,7000,1
"CANAYRE",14328408.38,17838649.97,2,2000,0
"UCHURACCAY",5816994.75,7885364.78,0,500,0
"PUCACOLPA",12291455.14,10796361.27,0,1440,0
"CHACA",3214381.04,2572515,0,556,0
"SAN MIGUEL",39423151.84,37311573.92,1,2800,0
"ANCO",22402518.18,15553037.85,0,1000,0
"AYNA",12292036.95,11936011.54,0,5000,0
"CHILCAS",13778168.45,11839104.68,0,40,0
"CHUNGUI",22482800.99,23604230.94,0,200,0
"LUIS CARRANZA",2279221.69,3476594.67,0,120,0
"SANTA ROSA",27445175.06,26652563.82,11,5600,2
"TAMBO",28561876.26,19556132.61,10,5000,4
"SAMUGARI",17724530.2,13715906.96,5,4000,0
"ANCHIHUAY",26719234.49,22771893.05,2,500,0
"ORONCCOY",4634857.8,4141934.71,0,100,0
"PUQUIO",44729412.45,41218687.78,1,12000,0
"AUCARA",8055551.16,10542214.19,0,1152,0
"CABANA",4692756.13,4798504.53,8,1600,0
"CARMEN SALCEDO",4381125.04,6688895.91,0,600,0
"CHAVIÑA",12329639.55,15227702.25,0,865,0
"CHIPAO",8395088.19,5480745.37,1,1700,0
"HUAC-HUAS",2609426.89,1951734.76,0,1000,0
"LARAMATE",3960627.96,2760187.87,5,350,0
"LEONCIO PRADO",1719415.25,1431720.73,0,100,0
"LLAUTA",2280315.78,2582747.55,1,250,0
"LUCANAS",7209930.79,8101021.1,2,1000,1
"OCAÑA",3675615.36,3032947.04,1,410,0
"OTOCA",3635093.38,2485110.25,2,450,0
"SAISA",3241591.16,2482254.68,1,500,0
"SAN CRISTOBAL",3847974.99,1767817.26,0,10,0
"SAN JUAN",2736545.48,3058582.43,2,750,0
"SAN PEDRO",4605022.63,4127561.88,0,1511,0
"SAN PEDRO DE PALCO",6337520.06,10208882.84,0,50,0
"SANCOS",12160775.44,5815129.23,0,600,1
"SANTA ANA DE HUAYCAHUACHO",1469684.13,1199207.84,1,170,0
"SANTA LUCIA",2189984.57,1824369.9,0,300,0
"CORACORA",26607105.35,25773443.04,0,11150,0
"CHUMPI",7318230.89,8411546.06,0,300,0
"CORONEL CASTAÑEDA",7445777.16,5038249.99,0,400,0
"PACAPAUSA",2989782.61,5154132.86,0,400,0
"PULLO",7237976.21,4603583.69,0,750,0
"PUYUSCA",10968711.8,11186805.95,0,100,0
"SAN FRANCISCO DE RAVACAYCO",3040376.32,5498849.08,0,150,0
"UPAHUACHO",2351345.75,2217950.46,0,300,0
"PAUSA",15295448.21,28921363.52,0,1750,0
"COLTA",2802668.44,2632316.77,0,168,0
"CORCULLA",2204825.47,2436337.58,0,80,0
"LAMPA",3785496.07,3413862.11,2,583,0
"MARCABAMBA",3033240.69,2235567.3,0,200,0
"OYOLO",15993343.63,11227090.2,0,150,0
"PARARCA",4766334.29,6333314.2,0,30,0
"SAN JAVIER DE ALPABAMBA",2442768.3,4457945.12,0,180,0
"SAN JOSE DE USHUA",1455534.29,857981.16,0,50,0
"SARA SARA",1929737.32,1280656.14,0,57,0
"QUEROBAMBA",16348610.03,18095377.55,0,2900,0
"BELEN",1424993.52,1404307.09,0,40,0
"CHALCOS",1613610.76,1561022.32,0,500,0
"CHILCAYOC",3488922.73,4603164.08,0,200,0
"HUACAÑA",1026675.31,941501.36,0,153,0
"MORCOLLA",4645581.54,4369938.88,0,136,0
"PAICO",891568.01,703935.74,0,80,0
"SAN PEDRO DE LARCAY",3269244.73,2526181.1,0,258,0
"SAN SALVADOR DE QUIJE",10163731.36,9267121.48,0,131,0
"SANTIAGO DE PAUCARAY",2210822.16,2226402.66,2,506,1
"SORAS",5483259.78,4419076.68,0,250,0
"HUANCAPI",20051937.46,16382310.38,6,1650,0
"ALCAMENCA",1652908.53,1724032.94,0,300,0
"APONGO",4866989.38,4589433.39,0,500,0
"ASQUIPATA",1486051.16,1110126.9,0,96,0
"CANARIA",3312370.64,2087001.18,2,710,0
"CAYARA",1951984.16,1954426.63,2,443,0
"COLCA",5732621.27,5270435.4,0,1000,0
"HUAMANQUIQUIA",2311971.83,4982571.58,0,300,0
"HUANCARAYLLA",1854134.49,2023139.93,2,350,0
"HUALLA",7114220.99,7978162.62,0,250,0
"SARHUA",4321891.72,5514241.61,0,500,1
"VILCANCHOS",10414190.15,12939835.79,0,222,0
"VILCAS HUAMAN",18642114.24,15742594.45,16,3450,0
"ACCOMARCA",3758997.78,3135121.13,0,100,0
"CARHUANCA",2165705.16,1857660.2,0,500,0
"CONCEPCION",2721938.12,2719937.02,0,50,0
"HUAMBALPA",1300665.31,1154849.83,0,100,0
"INDEPENDENCIA",2215829.22,2019364.52,0,100,0
"SAURAMA",2965839.36,2540568.91,0,900,0
"VISCHONGO",4380094.05,8632808.42,1,400,0
"CAJAMARCA",217923061.14,173423333.63,518,165000,106
"ASUNCION",16908487.14,11839247.2,9,750,5
"CHETILLA",9001225.27,8151141.48,0,100,0
"COSPAN",7395366.58,5977851.69,10,700,4
"ENCAÑADA",71578587.61,58214790.44,14,500,11
"JESUS",22283591.36,17569740.99,0,2888,2
"LLACANORA",9407938.51,8551507,2,500,0
"LOS BAÑOS DEL INCA",62121854.34,63257150.13,51,17800,25
"MAGDALENA",7759341.97,5130757.86,1,3400,0
"MATARA",8538298.25,8234340.52,8,800,0
"NAMORA",19779671.27,15069631.02,3,3600,0
"SAN JUAN",4110197.08,3649527.43,10,676,0
"CAJABAMBA",68377406.1,55790215.82,75,16000,10
"CACHACHI",55584474.31,32562099.21,13,558,8
"CONDEBAMBA",14033652.23,7829627.59,0,1134,0
"SITACOCHA",10802984,5366115.39,3,3000,0
"CELENDIN",58992902.62,47889518.88,0,13000,0
"CHUMUCH",2107474.1,2338836.26,0,24,0
"CORTEGANA",7791704.84,6672543.56,2,200,0
"HUASMIN",12192951.39,6969246.44,0,280,0
"JORGE CHAVEZ",2806316.03,2971894.05,0,150,0
"JOSE GALVEZ",3259459.72,3675659.93,0,900,0
"MIGUEL IGLESIAS",3909304.42,3641966.84,0,200,0
"OXAMARCA",5095679.38,6424629.44,0,650,0
"SOROCHUCO",8825580.77,7852634.58,0,717,0
"SUCRE",19332479.88,18603158.69,0,2250,0
"UTCO",1704702.52,1881792.39,0,33,0
"LA LIBERTAD DE PALLAN",5934430.22,5391025.73,0,300,0
"CHOTA",85572398.09,62058107.58,56,135000,19
"ANGUIA",17776014.23,14370262.74,4,400,1
"CHADIN",3091769.78,3305043.52,0,250,0
"CHIGUIRIP",2556013.44,3957467.92,0,200,0
"CHIMBAN",2473364.51,2363499.2,2,200,0
"CHOROPAMPA",4656441.42,4792571.88,0,1000,0
"COCHABAMBA",10700324.75,9349516.51,2,350,2
"CONCHAN",10255695.33,10243767.76,8,4000,0
"HUAMBOS",10130106.14,14167770.41,1,1200,0
"LAJAS",8614422.38,8239528.5,14,3200,0
"LLAMA",20594746.99,19201506.19,2,500,0
"MIRACOSTA",5771683.74,8195301.17,0,150,0
"PACCHA",27460976.17,18797218.91,0,200,0
"PION",1561785.41,1623930.59,0,362,0
"QUEROCOTO",19244760.18,16396909.75,22,2000,14
"SAN JUAN DE LICUPIS",2737479.15,2287446.55,7,20,2
"TACABAMBA",30455171.52,24000703.16,23,2000,5
"TOCMOCHE",2600417.61,2235490.5,0,250,0
"CHALAMARCA",9693585.81,9551225.6,9,690,1
"CONTUMAZA",24470747.25,21510852.83,3,2610,0
"CHILETE",8789759.55,6120487.71,10,4320,0
"CUPISNIQUE",1601823.95,2513416.42,1,50,0
"GUZMANGO",7600948.02,6920159.29,0,120,0
"SAN BENITO",5568777.48,5133172.62,1,900,0
"SANTA CRUZ DE TOLED",3040805.08,2585145.08,0,500,0
"TANTARICA",4770689.28,3483611.22,7,1042,1
"YONAN",11860318.14,6343662.97,12,3486,0
"CUTERVO",86215178.68,61463431.05,70,29394,17
"CALLAYUC",20528128.09,16414692.83,0,1000,0
"CHOROS",7334954.58,6929353.86,0,1000,0
"CUJILLO",2739291.94,2529811.78,0,500,0
"LA RAMADA",6657561.77,4938624.17,0,2000,0
"PIMPINGOS",15906174.43,15728753.74,8,1000,0
"QUEROCOTILLO",30671805.24,29818756.93,0,1500,0
"SAN ANDRES DE CUTERVO",5650760.28,4726129.98,1,2000,0
"SAN JUAN DE CUTERVO",10574636.66,8584466.31,1,290,0
"SAN LUIS DE LUCMA",4477587.38,3491821.78,1,250,1
"SANTA CRUZ",6002666.16,8730341.77,1,500,0
"SANTO DOMINGO DE LA CAPILLA",7969469.2,7501718.6,1,1500,0
"SANTO TOMAS",8112876.43,7368982.16,0,3334,0
"SOCOTA",8338335.16,9120066.7,5,978,0
"TORIBIO CASANOVA",2234083.3,2431923.55,1,200,0
"BAMBAMARCA",129634723.23,79417618.76,25,16687,35
"CHUGUR",15735965.68,10192006.01,0,1600,0
"HUALGAYOC",43965243.56,26761082.27,25,1550,13
"JAEN",99514118.17,86335660.11,178,120000,26
"BELLAVISTA",14937998.43,11884413.21,24,10000,0
"CHONTALI",12235472.35,11225782.76,5,1000,2
"COLASAY",22685663.07,21925682.53,0,550,0
"HUABAL",12912039.24,9727238.24,0,5000,0
"LAS PIRIAS",19128772.49,17782128.15,0,420,0
"POMAHUACA",22662390.38,23910585.43,0,3254,0
"PUCARA",5299759.78,4855527.28,6,4000,1
"SALLIQUE",9051682.27,6644184.26,0,520,0
"SAN FELIPE",5128360.24,5133059.95,1,1500,1
"SAN JOSE DEL ALTO",8807099.02,7212461.41,2,383,5
"SANTA ROSA",23086708.29,16644346.44,7,300,0
"SAN IGNACIO",69609980.2,67417286.47,1,5100,2
"CHIRINOS",14522813.77,15305865.76,2,8000,6
"HUARANGO",25607016.06,21883058.81,0,2000,8
"LA COIPA",34276089.81,28043325.29,4,1400,1
"NAMBALLE",20377582.93,17981519.28,1,1953,2
"SAN JOSE DE LOURDES",42756221.75,37947378.97,0,2000,0
"TABACONAS",20002571.54,16416159.01,0,1200,0
"PEDRO GALVEZ",30789246.21,31457065.07,19,10000,0
"CHANCAY",17897060.6,17978075.86,3,225,0
"EDUARDO VILLANUEVA",2736807.11,2625743.06,0,300,0
"GREGORIO PITA",19940175.67,23456819.81,5,150,0
"ICHOCAN",18347870.08,20211890.19,0,400,0
"JOSE MANUEL QUIROZ",2961686.28,2445463.66,1,500,0
"JOSE SABOGAL",9071015.99,8594356.82,1,1154,0
"SAN MIGUEL",31234558.71,29014536.27,0,2830,2
"BOLIVAR",10882539.68,10867860.64,1,332,0
"CALQUIS",4266706.04,2956274.84,0,18,0
"CATILLUC",5892417.43,1633751.57,0,547,0
"EL PRADO",3856002.5,3433212.34,0,161,0
"LA FLORIDA",5803922.97,5536857.51,1,1000,0
"LLAPA",5548935.63,12001933.17,6,200,4
"NANCHOC",5043743.91,4993571.5,0,1000,0
"NIEPOS",10019602.94,9534690.35,1,400,0
"SAN GREGORIO",2830459.54,2261546.96,0,60,1
"SAN SILVESTRE DE COCHAN",3173485.73,2904719.93,0,146,0
"TONGOD",6628150.9,5811405.96,0,50,0
"UNION AGUA BLANCA",2808641.9,2521209.61,0,100,0
"SAN PABLO",24138099.56,22758777.52,0,3500,0
"SAN BERNARDINO",7137134.72,9089271.03,0,150,0
"SAN LUIS",1777076.78,1350388.61,0,80,0
"TUMBADEN",4516048.71,3422765.1,2,60,0
"SANTA CRUZ",37340837.81,37077460.52,7,4500,13
"ANDABAMBA",3633381.59,3607450.85,1,30,0
"CATACHE",26928119.54,25354193.32,4,1440,0
"CHANCAYBAÑOS",5451423.13,5051051.82,2,1000,0
"LA ESPERANZA",8901924.2,8487739.56,5,1000,1
"NINABAMBA",8669872.68,6859991.5,5,500,0
"PULAN",20770952.4,19295975.99,0,500,0
"SAUCEPAMPA",4585699.44,4693587.92,8,110,0
"SEXI",2293425.67,1106524.16,8,50,0
"UTICYACU",2879877.46,2289939.47,0,60,0
"YAUYUCAN",5193352.6,2719770.01,0,250,0
"CALLAO",363460684.41,289819259.57,0,943300,0
"BELLAVISTA",58101922.42,49520541.1,58,90000,5
"CARMEN DE LA LEGUA REYNOSO",39200249.96,34522151.3,100,52000,0
"LA PERLA",39468563.91,32257315.07,121,56769,7
"LA PUNTA",30106901.08,24957552.87,36,5844,0
"VENTANILLA",219854430.59,192055831.16,297,321830,73
"MI PERÚ",37586789.18,35919675.87,45,36250,33
"CUSCO",164647914.2,164828773.05,309,135068,9
"CCORCA",6067259.19,4691489.28,3,372,0
"POROY",14142705.84,10271196.45,13,5500,0
"SAN JERONIMO",67348570.35,57181348.73,65,66000,20
"SAN SEBASTIAN",88012283.69,65538986.16,97,90000,18
"SANTIAGO",81760930.27,57511219.6,127,80816,6
"SAYLLA",11188050.47,7563272.35,1,13900,1
"WANCHAQ",51375198.02,37732827.37,143,80947,0
"ACOMAYO",15677423.34,16854555.89,0,900,0
"ACOPIA",8023485.42,5942207.12,0,700,0
"ACOS",3987818.4,2997221.05,0,150,1
"MOSOC LLACTA",3693672.35,5549725.96,0,180,0
"POMACANCHI",20271801.81,15984995.17,3,4173,2
"RONDOCAN",2835843.14,2737584.36,0,50,0
"SANGARARA",9746537.47,6823275.72,1,2000,0
"ANTA",38509385.28,36200619.98,0,13098,79
"ANCAHUASI",15752601.29,11162052.54,0,2000,0
"CACHIMAYO",5946923.63,3001174.32,9,642,8
"CHINCHAYPUJIO",13431733.69,8523068.42,0,150,0
"HUAROCONDO",14634928.65,8510601.84,20,1300,6
"LIMATAMBO",16543658.47,10035440.17,9,2000,0
"MOLLEPATA",5847097.67,5457429.48,0,223,0
"PUCYURA",8873456.74,7757466.93,0,700,0
"ZURITE",4911953.09,3530381.6,0,1800,0
"CALCA",66715267.29,44871404.64,0,17400,2
"COYA",9262760.52,4577220.62,4,526,0
"LAMAY",13484439.52,12123036.75,0,1300,1
"LARES",26819989.88,16702158.54,22,1500,7
"PISAC",18598564.79,13488102.3,40,3860,4
"SAN SALVADOR",13371679.5,11379933.49,5,533,5
"TARAY",9460150.71,8804797.36,5,2500,1
"YANATILE",19690368.74,18042482.5,0,3000,0
"YANAOCA",23370086.38,20892400.88,25,5000,3
"CHECCA",18292920.85,14617611,0,100,0
"KUNTURKANKI",11254791.35,8462695.68,0,377,0
"LANGUI",9677481.85,6587053.81,0,30,0
"LAYO",13368402.89,10664833.31,0,200,0
"PAMPAMARCA",8091070.15,2607558.04,0,210,0
"QUEHUE",11615456.88,16179521.58,0,60,0
"TUPAC AMARU",4255521.66,3432269.13,0,900,0
"SICUANI",75405235.3,49903887.54,65,39000,29
"CHECACUPE",10674202.32,8182540.68,0,700,0
"COMBAPATA",7355200.67,5633093.84,0,2683,2
"MARANGANI",12128090.25,11302626.16,0,341,0
"PITUMARCA",13667555.02,10531703.12,0,1300,0
"SAN PABLO",6594512.19,5533748.15,0,464,0
"SAN PEDRO",4271550.9,3686756.05,0,1000,0
"TINTA",6987604.66,4887492.94,2,1550,0
"SANTO TOMAS",91495139.16,61516712.14,40,7320,8
"CAPACMARCA",28722202.37,14098602.62,0,446,0
"CHAMACA",25023544.68,19291562.9,105,1600,0
"COLQUEMARCA",43592340.25,30048813.9,2,2300,0
"LIVITACA",89222966.42,59530986.61,0,2000,20
"LLUSCO",17579285.39,13763414.28,0,110,0
"QUIÑOTA",35734236.29,16132389.28,0,500,0
"VELILLE",35934042.86,23788163.7,0,3000,0
"ESPINAR",230837030.06,157407087.35,16,30000,0
"CONDOROMA",12067829.24,8950500.13,0,500,0
"COPORAQUE",43018935.42,37354787.34,22,827,7
"OCORURO",13398741.81,10751564.61,0,550,0
"PALLPATA",38875076.35,22939217.13,12,800,1
"PICHIGUA",25537269.36,19201414.13,3,85,0
"SUYCKUTAMBO",13109584.66,12410755.39,0,58,0
"ALTO PICHIGUA",12909449.8,9548393.25,0,450,0
"SANTA ANA",123680868.52,103721340.18,47,42000,4
"ECHARATE",156827591.65,128843878.13,48,1724,10
"HUAYOPATA",21722803.18,18435325.51,4,2360,0
"MARANURA",20265394.69,10268248.83,5,2090,4
"OCOBAMBA",25483232.03,15033421.48,13,980,14
"QUELLOUNO",88896966.05,67213830.97,21,3000,5
"KIMBIRI",122794232.62,86830535.77,0,8000,0
"SANTA TERESA",32985262.28,24094065.29,20,4000,0
"VILCABAMBA",80703313.65,55196813.36,94,5208,11
"PICHARI",194476720.82,110849517.27,0,35000,2
"INKAWASI",31550342.72,21209047,2,500,0
"VILLA VIRGEN",18718216.06,10503571.54,0,300,0
"VILLA KINTIARINA",28279150.46,13723625.91,0,2000,0
"MEGANTONI",286913571.61,150760959.75,0,1200,38
"PARURO",42709694.44,37652628.6,0,2000,2
"ACCHA",7253481.18,6053035.86,0,200,0
"CCAPI",12684695.75,11140985.28,0,1000,0
"COLCHA",11498016.59,4205990.71,0,120,0
"HUANOQUITE",10819223.75,8723129.4,0,1000,0
"OMACHA",18901999.47,11742351.66,0,40,0
"PACCARITAMBO",6406471.71,3878541.26,0,50,0
"PILLPINTO",1924733.28,1537661.48,0,140,0
"YAURISQUE",14818217.49,12952768.19,0,48,0
"PAUCARTAMBO",66174026.26,64757222.17,29,2000,10
"CAICAY",10825115.38,6978473.27,0,300,0
"CHALLABAMBA",26081592.02,17209366.01,9,750,5
"COLQUEPATA",17133486.28,13058020.75,12,2400,0
"HUANCARANI",17415060.12,11880979.94,0,3000,2
"KOSÑIPATA",18878572.53,11133682.53,1,2500,0
"URCOS",36949540.33,36693769.72,40,3890,11
"ANDAHUAYLILLAS",9290062.9,7653126.18,11,4244,1
"CAMANTI",7064845.96,6296836.91,9,1197,0
"CCARHUAYO",10037798.71,7843603.95,3,107,3
"CCATCA",32284723.75,24749216.55,0,1690,0
"CUSIPATA",9698908.15,7725156.8,0,2950,0
"HUARO",7383358.92,6810494.01,0,1400,0
"LUCRE",7996422.55,6235374.38,0,1300,0
"MARCAPATA",16972464.39,11157838.19,8,1852,2
"OCONGATE",30533329.91,21171234.46,0,10000,0
"OROPESA",11869247.52,9346964.15,56,7870,16
"QUIQUIJANA",24425477.85,19022802.08,8,1800,1
"URUBAMBA",42324297.86,32889841.25,34,17450,17
"CHINCHERO",14667972.47,13988307.74,0,3200,0
"HUAYLLABAMBA",6370625.92,5905269.26,0,4000,0
"MACHUPICCHU",16140125.83,14975626.92,0,2500,0
"MARAS",15410083.35,11404356.79,30,1430,0
"OLLANTAYTAMBO",34437115.37,25272030.56,0,6000,0
"YUCAY",8811389.86,3242018.75,0,500,0
"HUANCAVELICA",70879637.63,60508427.05,15,8000,16
"ACOBAMBILLA",9569150.48,9407961.64,0,46,0
"ACORIA",39256280.44,28349765.67,7,348,5
"CONAYCA",1856688.36,1421690.53,0,120,0
"CUENCA",4770979.58,4163628.31,1,60,0
"HUACHOCOLPA",4220848.56,3913052.74,2,220,0
"HUAYLLAHUARA",4826032.63,2772835.39,1,152,0
"IZCUCHACA",1759702.59,1090868.35,3,600,0
"LARIA",6334709.01,6137704.2,2,186,0
"MANTA",2491753.94,2384165.88,0,200,0
"MARISCAL CACERES",1206730.76,1029500.28,4,120,0
"MOYA",2174405.08,1896049.02,0,300,0
"NUEVO OCCORO",3215651.21,3065447.72,1,158,2
"PALCA",22159493.59,21217496.42,0,450,0
"PILCHACA",4340664.53,3749730.07,0,110,0
"VILCA",2838021.29,2663419.84,0,77,1
"YAULI",29200486.5,19050245.42,3,1540,2
"ASCENSION",17217661.39,12362534.7,2,7500,0
"HUANDO",12889118.55,12004001.3,0,1500,0
"ACOBAMBA",36758389.59,36696763.8,36,6500,4
"ANDABAMBA",5753633.75,4918617.55,6,150,0
"ANTA",7616245.31,6334536.69,19,41,3
"CAJA",2051628.11,1679039.8,0,50,0
"MARCAS",5120013.19,4909952.41,0,1250,0
"PAUCARA",22803187.29,19334077.1,10,3794,0
"POMACOCHA",5755529.67,4212171.38,0,48,1
"ROSARIO",6705736.77,7677808.25,0,1000,0
"LIRCAY",44133372.74,45304654.52,0,9000,0
"ANCHONGA",17997695.64,12507882.72,0,300,0
"CALLANMARCA",1554332.2,1335425.76,4,60,0
"CCOCHACCASA",3653572.99,3265370.78,0,600,0
"CHINCHO",2378480.44,2094577.43,0,500,0
"CONGALLA",9821378.66,9300572.22,0,400,0
"HUANCA-HUANCA",7250980.72,6123638.5,0,600,0
"HUAYLLAY GRANDE",2721643.11,2660530.59,0,43,0
"JULCAMARCA",1362149.07,1375714.21,0,250,0
"SAN ANTONIO DE ANTAPARCO",4835453.98,7032779.79,0,200,0
"SANTO TOMAS DE PATA",2613617.55,2428013.85,1,265,1
"SECCLLA",8851742.96,8323670.57,0,500,0
"CASTROVIRREYNA",34586798.49,28984489.15,2,1100,1
"ARMA",1222659.41,1006810.21,2,20,0
"AURAHUA",9224711.37,7804760.77,0,500,0
"CAPILLAS",2063273.29,1675804.71,0,250,0
"CHUPAMARCA",2914997.11,2582823.91,0,10,0
"COCAS",3205122.26,2542942.3,0,40,0
"HUACHOS",2316014.81,2327643.83,0,140,0
"HUAMATAMBO",1324493.84,1297254.25,0,500,0
"MOLLEPAMPA",5986568.51,4568458.75,0,20,0
"SAN JUAN",1340368.39,1014886.09,0,50,0
"SANTA ANA",4488441.63,4316037.65,0,15,0
"TANTARA",1366541.06,1466740.74,0,1000,0
"TICRAPO",4891384.35,4004189.11,1,100,0
"CHURCAMPA",34633246.28,31049515.43,4,4800,0
"ANCO",6400797.36,5395674.85,0,5000,0
"CHINCHIHUASI",3927222.05,3731144.09,0,400,0
"EL CARMEN",3855122.37,3087142.58,0,990,0
"LA MERCED",1701062.31,1472376.83,0,175,0
"LOCROJA",6769307.8,7633910.39,0,50,0
"PAUCARBAMBA",7674940.52,9956121.37,1,1500,0
"SAN MIGUEL DE MAYOCC",7191604.6,6419823.08,0,500,0
"SAN PEDRO DE CORIS",8092660.47,4709251.05,0,500,0
"PACHAMARCA",8441087.3,7935011.13,1,160,0
"COSME",3438736.7,2952094.96,0,20,0
"HUAYTARA",22919521.91,22076334.03,4,1450,1
"AYAVI",5451983.17,4831836.79,0,50,0
"CORDOVA",3428901.68,2722075.65,0,20,0
"HUAYACUNDO ARMA",1174183.66,762279.55,0,220,0
"LARAMARCA",3474944.21,3030963.93,0,35,0
"OCOYO",5718247.8,4335713.7,0,90,0
"PILPICHACA",12156481.72,6894933.69,0,623,0
"QUERCO",2125198.84,1976074.94,0,30,0
"QUITO-ARMA",2522104.61,2074518.31,0,350,0
"SAN ANTONIO DE CUSICANCHA",5402943.1,4938080.8,0,350,0
"SAN FRANCISCO DE SANGAYAICO",11158370.96,10714003.38,0,20,0
"SAN ISIDRO",5088483.5,5624367.82,0,200,0
"SANTIAGO DE CHOCORVOS",4403434.9,2911133.36,1,75,0
"SANTIAGO DE QUIRAHUARA",1782258.34,1611457.06,0,500,0
"SANTO DOMINGO DE CAPILLAS",1806875.78,1436153.02,0,120,0
"TAMBO",5069080.55,3095687.15,0,500,0
"PAMPAS",52685971.07,50601450.83,0,8000,5
"ACOSTAMBO",3993909.56,3343675.86,0,620,0
"ACRAQUIA",5511612.54,5524828.16,12,400,1
"AHUAYCHA",10776391.31,12234364.72,0,1000,0
"COLCABAMBA",29255029.44,21263687.27,0,4500,0
"DANIEL HERNANDEZ",12301531.9,10894328.97,4,3892,0
"HUACHOCOLPA",6101470.54,4808466.56,0,2600,0
"HUARIBAMBA",5109749.36,5216017.49,0,300,0
"ÑAHUIMPUQUIO",5151891.9,4905323.49,0,346,0
"PAZOS",8266969.83,6070185.28,0,560,0
"QUISHUAR",3603329.77,3353716.6,0,300,0
"SALCABAMBA",11078240.11,8430256.86,0,250,0
"SALCAHUASI",3179868.56,2864058.49,0,200,0
"SAN MARCOS DE ROCCHAC",8551798.75,4996882.32,0,80,0
"SURCUBAMBA",26040303.38,24493176.18,0,2500,0
"TINTAY PUNCU",10201693.24,10594353.75,6,500,5
"QUICHUAS",11130791.78,9953964.33,0,200,0
"ANDAYMARCA",7740112.38,7685976.21,3,500,2
"ROBLE",4809657.87,4767031.64,0,50,0
"PICHOS",8686102.95,7466874.46,0,850,0
"SANTIAGO DE TUCUMA",2473681.47,2302285.66,0,700,0
"HUANUCO",69918638.16,64962034.39,132,60000,0
"AMARILIS",32550011.46,30661966.56,49,61630,7
"CHINCHAO",8920879.25,9812004.53,5,1000,1
"CHURUBAMBA",14164608.01,15556340.01,0,260,0
"MARGOS",7222385.23,6381770.16,0,30,0
"QUISQUI",4505487.56,4824021.02,0,50,0
"SAN FRANCISCO DE CAYRAN",3478372.45,3410301.26,0,2500,0
"SAN PEDRO DE CHAULAN",7158419.82,6159555.5,3,267,0
"SANTA MARIA DEL VALLE",27806409.92,26239392.55,15,530,4
"YARUMAYO",9313311.14,9552109,0,65,0
"PILLCO MARCA",13256983.21,10181209.47,42,30710,0
"YACUS",3777607.93,3689442.6,0,110,0
"SAN PABLO DE PILLAO",10006493.91,8114208.19,0,2100,0
"AMBO",45418727.22,43958613.27,21,11000,7
"CAYNA",5237065.5,6168105.1,2,100,2
"COLPAS",9155559.9,9346572.69,0,30,0
"CONCHAMARCA",9763844.26,9640706.48,0,150,0
"HUACAR",9772452.37,11055897.5,2,3000,0
"SAN FRANCISCO",2703482.38,2434558.1,7,209,0
"SAN RAFAEL",16618801.47,16331906.86,0,1000,1
"TOMAY KICHWA",2305174.84,3248171.35,2,3000,0
"LA UNION",23492584.84,17252025.59,0,8000,1
"CHUQUIS",7399192.01,8002891.11,0,673,0
"MARIAS",16463830.13,15359065.15,0,150,0
"PACHAS",9320710.16,8009956.19,0,1000,0
"QUIVILLA",5106086.36,5262703.05,0,500,0
"RIPAN",8941735.61,6791837.62,0,2500,0
"SHUNQUI",2163122.6,2088421.58,0,50,2
"SILLAPATA",1734401.73,1621629.9,0,80,0
"YANAS",7529303.49,7516052.01,0,452,0
"HUACAYBAMBA",11643476.09,13921558.13,4,1378,0
"CANCHABAMBA",2193535.63,1959914.98,1,100,0
"COCHABAMBA",3132806.47,2398149.57,4,100,2
"PINRA",4381689.9,3321853.55,0,250,0
"LLATA",29709113.24,24083829.89,3,6000,0
"ARANCAY",1482228.03,1525246.16,0,300,0
"CHAVIN DE PARIARCA",7506964.83,7074040.24,0,800,0
"JACAS GRANDE",13843008.45,13588349.49,0,200,0
"JIRCAN",1997013.41,4896053.57,0,30,0
