"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"MIRAFLORES",6204666.09,6056085.7,0,500,0
"MONZON",24050778.62,22179673.78,0,7200,0
"PUNCHAO",1333073.85,1865529.38,0,500,0
"PUÑOS",3509222.17,2865041.31,0,140,0
"SINGA",2043906.37,2161727.95,0,850,0
"TANTAMAYO",2688715.43,2897668.24,0,160,0
"RUPA-RUPA",53828712.27,45158457.08,190,46045,25
"DANIEL ALOMIA ROBLES",6987958.5,6573468.85,3,860,2
"HERMILIO VALDIZAN",7470648.11,7469659.09,0,13798.4666666667,0
"JOSE CRESPO Y CASTILLO",14330483.19,9643292.21,8,12720,3
"LUYANDO",19942368.65,13736654.01,0,803,0
"MARIANO DAMASO BERAUN",13682218.81,13434688.26,9,2142,6
"PUCAYACU",3713469.29,3328156.79,0,1500,0
"CASTILLO GRANDE",9046966.09,7007022.03,8,11000,0
"PUEBLO NUEVO",4190904.78,3779573.63,0,200,0
"SANTO DOMINGO DE ANDA",2847429.43,2076237.12,0,1200,0
"HUACRACHUCO",16454306.91,10355857.92,5,4719,0
"CHOLON",12091374.38,11329403.08,0,200,0
"SAN BUENAVENTURA",2052303.94,2240835.75,0,20,0
"LA MORADA",5081886.03,5172097.23,0,900,0
"SANTA ROSA DE ALTO YANAJANCA",7142228.6,2636158.41,0,2000,0
"PANAO",38160654.97,33191913.53,0,3800,0
"CHAGLLA",19360689.4,14402373.05,6,6000,0
"MOLINO",16607125.48,13244174.04,0,5400,0
"UMARI",12471363.28,10486006.84,5,1963,0
"PUERTO INCA",17596167.63,15807113.61,51,2267,3
"CODO DEL POZUZO",11783277.18,13234636.61,1,8000,0
"HONORIA",9373758.65,7392174.89,0,1000,0
"TOURNAVISTA",14372726.68,13575380.04,0,1019,0
"YUYAPICHIS",8427977.17,4879391.05,2,3830,0
"JESUS",12982530.8,10104861.52,1,800,0
"BAÑOS",7418036.66,6968837.36,0,150,0
"JIVIA",3552992.86,3289540.56,0,50,0
"QUEROPALCA",1587678.21,1583698.29,0,150,0
"RONDOS",5269992.99,6707335.39,0,60,0
"SAN FRANCISCO DE ASIS",5119758.8,5049341.02,0,50,0
"SAN MIGUEL DE CAURI",16150351.42,11851904.78,0,800,0
"CHAVINILLO",16713454.37,14976224.97,2,598,0
"CAHUAC",4866400.04,5657980.12,0,20,0
"CHACABAMBA",2427142.49,2227454.92,0,90,0
"APARICIO POMARES",11423971.88,10044834.58,0,220,0
"JACAS CHICO",3066989.39,3011597.43,1,320,0
"OBAS",3399407.32,5039350.5,0,80,0
"PAMPAMARCA",5120108.31,5281061.64,3,250,1
"CHORAS",2407602.25,2467515.18,0,350,0
"ICA",127098858.5,111542832.8,207,140000,41
"LA TINGUIÑA",28026254.05,23049211.6,26,45600,0
"LOS AQUIJES",14353036.71,9568466.22,30,35000,0
"OCUCAJE",9025823.93,3666869.27,2,1000,0
"PACHACUTEC",5831811.05,2571277.09,2,3500,0
"PARCONA",34579723.34,27904631.82,47,50000,7
"PUEBLO NUEVO",6766026.13,4878277.07,7,4000,0
"SALAS",28331126.46,23826189.14,17,20000,0
"SAN JOSE DE LOS MOLINOS",8528115.86,7108865.24,2,2600,0
"SAN JUAN BAUTISTA",8777853.43,6214274.28,18,7000,0
"SANTIAGO",21172942.32,16627134.18,5,14000,17
"SUBTANJALLA",20214773.87,14071213.74,32,29000,6
"TATE",5117194.58,4499937.38,1,1057,0
"YAUCA DEL ROSARIO",4849593.13,2918051.56,1,200,0
"CHINCHA ALTA",75442172.5,51789811.59,89,45000,10
"ALTO LARAN",16937268.87,7539535.53,8,4800,0
"CHAVIN",15431478.11,5621383.1,0,900,0
"CHINCHA BAJA",18264753.87,14446051.66,18,6000,5
"EL CARMEN",14332463.76,10674036.01,19,3000,0
"GROCIO PRADO",20754651.07,17174168.6,6,20000,0
"PUEBLO NUEVO",46036671.74,27968036.67,25,36200,3
"SAN JUAN DE YANAC",4186982.81,2316028.24,0,50,0
"SAN PEDRO DE HUACARPANA",2891286.65,1686006.94,0,15,0
"SUNAMPE",19893866.48,18279581.42,48,20000,0
"TAMBO DE MORA",4763824.24,4098037.87,9,4300,3
"NASCA",96989859.38,50858354.1,79,15000,8
"CHANGUILLO",8234283.33,5288199.53,1,200,0
"EL INGENIO",16612821.07,7967886.98,1,1784,0
"MARCONA",146144413.45,68585138.67,2,29460,0
"VISTA ALEGRE",58293057.18,38380354.8,18,10000,9
"PALPA",14277994.86,12634496.74,18,3800,0
"LLIPATA",3754290.7,3138489.44,3,1400,0
"RIO GRANDE",2622405.62,2512380.81,1,2400,0
"SANTA CRUZ",1500719.2,1348583.45,0,170,0
"TIBILLO",1316842.98,679668.15,2,100,0
"PISCO",71895854.56,54721102.05,45,41000,0
"HUANCANO",9408286.17,6756090.21,0,1904,0
"HUMAY",14148052.79,9072770.17,17,2776,6
"INDEPENDENCIA",19341950.91,13558985.27,42,8000,2
"PARACAS",45252340.68,36322185.34,3,15170,0
"SAN ANDRES",17913873.77,14693163.92,33,13736,0
"SAN CLEMENTE",22432480.07,15015503.59,37,17000,10
"TUPAC AMARU INCA",16041161.81,9619576.83,15,11339,3
"HUANCAYO",143200460.18,108813048.81,57,145000,40
"CARHUACALLANGA",939005.76,807640.31,0,282,0
"CHACAPAMPA",1224900.43,1054944.09,0,10,0
"CHICCHE",8750790.69,8495882.82,0,170,0
"CHILCA",28263222.35,22795705.7,68,68000,13
"CHONGOS ALTO",3261591.21,2343021.5,0,1143,0
"CHUPURO",3102706.01,3079368.36,1,472,0
"COLCA",1395347.63,1455052.94,0,100,0
"CULLHUAS",1844371.91,1943872.21,0,1000,0
"EL TAMBO",56571812.81,49500351.08,190,147000,3
"HUACRAPUQUIO",5085291.73,6392296.18,0,35,0
"HUALHUAS",4548104.41,4829405.92,1,1300,0
"HUANCAN",7610054.12,5557537.95,23,10000,0
"HUASICANCHA",974174.73,632806.11,0,395,0
"HUAYUCACHI",8289034.4,6113441.75,2,4000,0
"INGENIO",4306187.46,3508701.51,0,900,0
"PARIAHUANCA",4217989.59,3943869.77,0,637,0
"PILCOMAYO",15049488.86,13205852.46,0,7200,1
"PUCARA",6866746.51,8815413.05,3,150,0
"QUICHUAY",2258189.06,2636267.07,0,1200,0
"QUILCAS",2105271.36,1539099.55,4,1450,0
"SAN AGUSTIN",8280481.01,5797591.71,8,6450,2
"SAN JERONIMO DE TUNAN",5611147.91,4286716.61,9,6000,1
"SAÑO",2554687.83,2682153.04,2,1605,0
"SAPALLANGA",6850931.02,6315252.24,12,13940,2
"SICAYA",6513171.43,5915111.67,12,7200,3
"SANTO DOMINGO DE ACOBAMBA",8674146,6759571.09,0,500,0
"VIQUES",6334754.84,3854978.16,3,150,1
"CONCEPCION",26066317.49,28693770.29,48,15700,5
"ACO",1367126.99,1183205.06,0,208,0
"ANDAMARCA",5740156.86,4780045.98,2,100,2
"CHAMBARA",1715594.08,1716470.26,0,300,0
"COCHAS",1193472.37,4091349.99,0,140,0
"COMAS",6244647.07,6268778.44,4,600,1
"HEROINAS TOLEDO",1120129.92,991966.23,0,60,0
"MANZANARES",4972099.56,3412403.82,0,500,0
"MARISCAL CASTILLA",1311471.77,934620.11,1,300,0
"MATAHUASI",2848906.33,2620649.87,5,3100,0
"MITO",4946719.31,5880525.03,1,232,0
"NUEVE DE JULIO",2270949.79,4411280.31,0,165,0
"ORCOTUNA",3351840.8,2930390.16,4,1850,1
"SAN JOSE DE QUERO",11066971.02,11250694.75,0,13798.4666666667,1
"SANTA ROSA DE OCOPA",2347085.66,1058051.31,0,720,0
"CHANCHAMAYO",58691498.57,60631983.83,30,35000,4
"PERENE",44273818.59,42587981.13,24,41440,7
"PICHANAQUI",39876033.02,34786032.82,31,37942,10
"SAN LUIS DE SHUARO",4576230.05,4452114.93,0,1000,1
"SAN RAMON",20119723.46,21374167.59,32,30000,0
"VITOC",3384045.98,2400594.44,1,500,0
"JAUJA",69403431.79,64627950.26,34,18200,6
"ACOLLA",5926398.86,5259675.96,3,3270,3
"APATA",2919891.38,2351654.73,4,2500,0
"ATAURA",1582235.71,1147532.09,0,25,0
"CANCHAYLLO",1734742.04,1529396.84,3,1600,2
"CURICACA",2791133.82,2573740.55,1,200,0
"EL MANTARO",1329318.87,1563181.75,0,500,0
"HUAMALI",1100028.01,976095.24,0,500,0
"HUARIPAMPA",1431296.63,802417.08,0,560,0
"HUERTAS",1430134.9,1400827.08,0,1110,2
"JANJAILLO",5126169.91,4769398.19,1,13798.4666666667,0
"JULCAN",1152357.42,759410.9,0,200,0
"LEONOR ORDOÑEZ",1025191.68,934901.59,0,450,0
"LLOCLLAPAMPA",988808.35,985432.17,0,106,0
"MARCO",1830508.41,1596199.86,0,723,0
"MASMA",3722108.69,3391861.89,0,13798.4666666667,0
"MASMA CHICCHE",1674099.49,1596482.94,0,115,0
"MOLINOS",1289978.98,1122981.88,0,70,0
"MONOBAMBA",4020184.86,3495794.53,0,180,0
"MUQUI",5432634.37,4796754.38,1,500,0
"MUQUIYAUYO",5310173.33,1879559.83,0,1784,0
"PACA",1276208.53,987141.48,0,800,0
"PACCHA",1880795.07,1419253.83,0,1200,0
"PANCAN",1448691.36,1113993.63,0,80,0
"PARCO",968374.87,1369872.42,0,600,1
"POMACANCHA",3031268.72,5688745.52,0,100,0
"RICRAN",7014376.29,6714818.83,0,30,0
"SAN LORENZO",2098312.28,2536675.4,1,500,0
"SAN PEDRO DE CHUNAN",1293407.83,1007401.91,0,549,0
"SAUSA",1679063.34,1396082.58,2,350,0
"SINCOS",6965720.37,6699331.47,0,520,1
"TUNAN MARCA",868065.56,687926.51,0,500,0
"YAULI",997931.27,1700233.73,0,549,0
"YAUYOS",6642554.61,8950527.57,11,12000,0
"JUNIN",28947111.18,26141336.93,8,3530,0
"CARHUAMAYO",4006119.43,2977486.02,12,1800,0
"ONDORES",1473503.99,1448219.93,1,175,0
"ULCUMAYO",11951179.35,8632243.25,1,517,0
"SATIPO",91233462.72,65273475.3,75,20336,15
"COVIRIALI",7658199.07,6738317.94,1,2600,4
"LLAYLLA",8737914.93,6475636.52,0,1500,0
"MAZAMARI",47667657.71,35274660.92,28,6135,6
"PAMPA HERMOSA",7596005.22,6337880.03,4,390,4
"PANGOA",56984659.57,44922639.09,26,16130,2
"RIO NEGRO",29502210.96,19671581.61,5,3150,2
"RIO TAMBO",57836764.12,31899276.41,2,4500,0
"VIZCATÁN DEL ENE",4987448.45,4150502.38,2,500,3
"TARMA",39009062.79,34106986.81,89,37800,12
"ACOBAMBA",5624954.52,4414364.65,3,5000,7
"HUARICOLCA",5527748.37,5260143,0,15,0
"HUASAHUASI",10278951.07,7326985.69,4,3500,3
"LA UNION",7973072.92,5902464.04,5,2075,0
"PALCA",3942783.99,3552161.12,2,1150,1
"PALCAMAYO",4666235.03,4051893.72,1,1700,1
"SAN PEDRO DE CAJAS",2933963.38,2634314.27,3,1000,0
"TAPO",3683633.06,3357233.38,4,1600,1
"LA OROYA",29399040.92,25934729,32,8500,0
"CHACAPALPA",2105064.47,1471570.28,0,380,0
"HUAY-HUAY",3871569.5,3532256.91,0,1216,0
"MARCAPOMACOCHA",6442621.32,3680275.88,0,384,0
"MOROCOCHA",20096890.91,13013248.76,18,2098,0
"PACCHA",3903829.22,2521669.68,2,561,0
"SANTA BARBARA DE CARHUACAYAN",18105287.43,6014611.46,0,773,0
"SANTA ROSA DE SACCO",6955154.52,5892865.47,25,3200,0
"SUITUCANCHA",3853924.13,1633572.64,0,260,0
"YAULI",12506249.2,7652190.74,6,5200,0
"CHUPACA",27960522.83,21044000.24,14,18000,0
"AHUAC",5646956.38,4800330.59,6,1500,0
"CHONGOS BAJO",2016117.86,1744798.13,6,820,0
"HUACHAC",2020051.53,2021274.51,1,590,0
"HUAMANCACA CHICO",7915911.35,7145783.75,3,3600,1
"SAN JUAN DE ISCOS",2581178.32,2576492.65,0,13798.4666666667,0
"SAN JUAN DE JARPA",1582751.31,1400314.13,0,80,0
"TRES DE DICIEMBRE",1657608.94,2552630.34,5,2000,0
"YANACANCHA",8601569.95,8192894.93,0,300,0
"TRUJILLO",280909969.51,242860740.41,0,596000,102
"EL PORVENIR",68160994.41,45418763.72,53,115236,81
"FLORENCIA DE MORA",29897261.36,12890159.76,31,21000,19
"HUANCHACO",67139976.32,57692029.32,109,41897,0
"LA ESPERANZA",75459364.12,60933489.12,69,130480,156
"LAREDO",39473873.66,36934000.78,10,22500,9
"MOCHE",29061053.93,25134054.3,74,30000,8
"POROTO",8496600.39,7685840.81,0,4500,0
"SALAVERRY",19290397.82,14000111.85,24,40000,0
"SIMBAL",10486989.93,8817778.73,0,6000,0
"VICTOR LARCO HERRERA",44470663.95,34218571.79,88,57000,47
"ASCOPE",58253277.6,60447924.45,47,3346,13
"CHICAMA",40323825.34,39242489.54,18,9000,7
"CHOCOPE",13191698.52,11367333.38,15,6000,0
"MAGDALENA DE CAO",5679237.47,5435590.31,5,2037,0
"PAIJAN",27384520.36,20832283.47,21,22000,26
"RAZURI",18412471.94,12340820.86,38,7000,0
"SANTIAGO DE CAO",37786067.02,33803996.24,34,10000,15
"CASA GRANDE",37488457.52,36751437.71,52,23400,43
"BOLIVAR",16247322.68,15000810.76,0,2000,0
"BAMBAMARCA",2841983.4,1753308.59,0,500,0
"CONDORMARCA",4938671.5,3545113.01,0,600,0
"LONGOTEA",1222129.12,1779783.49,4,1000,2
"UCHUMARCA",2065418.83,1482441.82,0,400,0
"UCUNCHA",1203699.2,835796.52,0,60,0
"CHEPEN",46133168.96,41051640.44,89,55000,0
"PACANGA",36526143.64,34873236.58,18,10000,2
"PUEBLO NUEVO",11766072.34,11640609.43,21,12000,7
"JULCAN",39010562.35,32867464.86,5,4150,0
"CALAMARCA",9744769.45,7283973.6,7,100,0
"CARABAMBA",10555095.03,9792955.17,4,190,0
"HUASO",9898447.56,10723838.85,3,20,0
"OTUZCO",61404374.41,50177051.8,59,12000,5
"AGALLPAMPA",13964140.29,9885836.21,0,420,0
"CHARAT",11848163.59,8634498.79,1,50,0
"HUARANCHAL",7770733.56,7034913.28,0,200,0
"LA CUESTA",2774334.6,2527213.07,0,40,0
"MACHE",6448877.72,7097466.17,0,2000,0
"PARANDAY",6880606.69,6542617.3,0,320,0
"SALPO",16892701.57,16146130.17,0,1000,0
"SINSICAP",16935684.87,14382276.86,0,485,0
"USQUIL",26567507.07,27795525.83,8,2700,3
"SAN PEDRO DE LLOC",21847095.33,23940888.64,71,20000,38
"GUADALUPE",40681890.98,36830098.36,91,25000,0
"JEQUETEPEQUE",2646077.48,2712102.74,10,9734,0
"PACASMAYO",24970923.43,21183314.26,36,28500,37
"SAN JOSE",16943031.31,26013466.41,23,17000,1
"TAYABAMBA",63627767.3,52113904.53,8,3420,0
"BULDIBUYO",7346777.68,4525078.24,5,1000,0
"CHILLIA",37120050.48,30445112.46,1,2200,0
"HUANCASPATA",13987469.2,8584942.43,0,426,0
"HUAYLILLAS",4955171.74,3802550.17,0,1000,1
"HUAYO",8015935.3,4726617.21,4,150,0
"ONGON",8729726.68,4254712.7,0,60,0
"PARCOY",56437256.92,39803790.07,30,14000,0
"PATAZ",51211751.96,22744035.99,0,7500,0
"PIAS",11972613.21,12015756.57,0,70,0
"SANTIAGO DE CHALLAS",3249944.38,3185006.58,0,2000,0
"TAURIJA",4443492.36,4185647.62,2,120,0
"URPAY",3614444.47,3272456.02,1,1000,0
"HUAMACHUCO",223822573.18,117657556.05,44,50000,43
"CHUGAY",35023456.07,26542562.85,9,1000,0
"COCHORCO",11043932.13,8591556.34,0,500,0
"CURGOS",23930823.28,23924839.37,0,1900,0
"MARCABAL",40044440.87,31527783.82,1,2000,0
"SANAGORAN",30570277.51,24038070.5,1,3200,0
"SARIN",17558723.93,12443046.61,1,1000,2
"SARTIMBAMBA",22857317.99,17719882.6,0,500,0
"SANTIAGO DE CHUCO",61237838.01,52679737.02,8,8000,1
"ANGASMARCA",10335432.45,8240268.72,3,1248,1
"CACHICADAN",18412339.26,17350385.37,11,836,0
"MOLLEBAMBA",2057156.31,1575389.86,0,300,0
"MOLLEPATA",12041304.87,10511288.95,0,100,0
"QUIRUVILCA",16702329.73,15067201.29,0,2000,0
"SANTA CRUZ DE CHUCA",3220809.94,2148914.05,1,2000,2
"SITABAMBA",4005373.4,3668976.37,0,600,0
"CASCAS",51811965.7,36859446.99,10,8000,0
"LUCMA",9503416.69,5996719.26,3,800,0
"MARMOT",2014074.43,1298772.84,5,1500,0
"SAYAPULLO",15990241.06,10410964.04,2,2000,3
"VIRU",121521073.26,99774760.47,41,13000,19
"CHAO",61439500.44,57362700.29,41,25000,7
"GUADALUPITO",9253869.82,5292979.11,0,13300,0
"CHICLAYO",198701817.09,142440805.15,894,266568,4
"CHONGOYAPE",15055228.77,15166616.41,18,7307,14
"ETEN",9097475.84,8413984.46,12,8431,7
"ETEN PUERTO",2012881.38,2322433.87,10,1500,0
"JOSE LEONARDO ORTIZ",56816042.79,41764685.42,168,182000,0
"LA VICTORIA",28058517.74,21271530.16,106,96000,22
"LAGUNAS",10321860.54,9805949.14,14,1500,0
"MONSEFU",15014914.72,14415062.15,23,25000,3
"NUEVA ARICA",7095009.7,5917796.09,5,5000,0
"OYOTUN",9168089.91,8711320.5,10,7200,1
"PICSI",2943969.81,3090746.84,4,7200,0
"PIMENTEL",32046225.47,26102890.57,64,51490,29
"REQUE",7411333.99,6285631.07,35,12880,0
"SANTA ROSA",8755529.19,9143615.87,20,6964,0
"SAÑA",8794201.84,8518086.37,6,20160,1
"CAYALTI",16944669.12,15719206.59,12,17000,0
"PATAPO",12852617.07,11788416.12,32,12500,6
"POMALCA",12294959.49,15069828.95,37,12500,10
"PUCALA",3353354.13,2786334.91,13,6000,6
"TUMAN",14363338.01,12260463.67,5,16500,17
"FERREÑAFE",40328938.95,40348235.92,38,29500,0
"CAÑARIS",44982345.25,44373301.54,0,243,0
"INCAHUASI",46049567.32,39682180.38,0,500,0
"MANUEL ANTONIO MESONES MURO",5914302.99,5321630.79,17,4720,0
"PITIPO",17299146.51,17489639.62,56,32300,5
"PUEBLO NUEVO",6553526.5,6674620.15,13,12000,0
"LAMBAYEQUE",110339979.77,86380724.57,84,50000,61
"CHOCHOPE",2440083.82,1660239.58,1,250,0
"ILLIMO",7751675.77,7008586.2,11,3319,0
"JAYANCA",23820322.93,20282901.73,18,10000,0
"MOCHUMI",21202037.61,16723088.25,18,9000,4
"MORROPE",50571862.2,46065345.83,74,5339,6
"MOTUPE",30371725.53,21997673.84,77,18000,9
"OLMOS",59860825.2,43017036.91,8,17000,5
"PACORA",11314023.25,8035525.73,9,13000,0
"SALAS",8386121.57,7495913.83,4,500,0
"SAN JOSE",8497249.29,6767780.69,13,5460,1
"TUCUME",26210015.55,22559477.36,10,4000,6
"LIMA",2093521182.05,1768892420.36,0,528632,219
"ANCON",28611773.9,27836389.97,28,43801,3
"ATE",266539206.39,251835532.57,1001,706385,626
"BARRANCO",39722637.07,35030240.41,53,45920,1
"BREÑA",41395881.82,30094419.66,79,99510,0
"CARABAYLLO",106580406.13,113237473.99,217,464142,21
"CHACLACAYO",21673340.07,20105412.65,54,37000,8
"CHORRILLOS",171517231.38,117480820.63,317,378000,52
"CIENEGUILLA",44456360.59,30971909.75,29,22400,0
"COMAS",115994957.84,124059220.97,151,710040,17
"EL AGUSTINO",53502655.24,55735911.08,46,260000,9
"INDEPENDENCIA",62581761.12,56443467.79,100,251440,1
"JESUS MARIA",82514774.92,81069335.85,10,86000,0
"LA MOLINA",149898797.58,145155226.27,7,158000,0
"LA VICTORIA",121617542.89,117548514.34,90,393944,16
"LINCE",63524370.48,51427318.24,1,66789,0
"LOS OLIVOS",79817038.31,80457250.61,199,383450,41
"LURIGANCHO",143887819.53,113573951.36,212,160964,3
"LURIN",84988848.37,80227824.5,115,160351,7
"MAGDALENA DEL MAR",68986412.73,57221489.18,94,68861,0
"PUEBLO LIBRE",52471242.44,49929286.33,124,86160,0
"MIRAFLORES",243566204.11,215408917.29,72,179795,0
"PACHACAMAC",72910388.16,73839242.01,84,134400,39
"PUCUSANA",21855099.25,19641311.96,29,14654,0
"PUENTE PIEDRA",144229985.24,119034112.35,360,371470,4
"PUNTA HERMOSA",22245622.77,20391533.89,9,12475,0
"PUNTA NEGRA",13923232.71,9967527.82,29,6000,0
"RIMAC",41414840.75,39338440.2,63,229880,0
"SAN BARTOLO",12432416.5,10680541.59,20,8513,0
"SAN BORJA",147380755.95,122294790.12,53,111746,0
"SAN ISIDRO",302181639.32,251215297.41,49,115354,4
"SAN JUAN DE LURIGANCHO",231071549.08,187834260.39,280,1113310,0
"SAN JUAN DE MIRAFLORES",86073711.93,78321695.88,52,520260,9
"SAN LUIS",31383673.16,28717617.24,35,80980,14
"SAN MARTIN DE PORRES",140382865.34,145227540.57,200,819848,23
"SAN MIGUEL",90903769.17,84022682.45,301,153303,35
"SANTA ANITA",74819295.14,63854562.21,128,263000,0
"SANTA MARIA DEL MAR",9503748.98,9071760.63,22,2680,1
"SANTA ROSA",13072294.56,12806258.48,12,19000,0
"SANTIAGO DE SURCO",350765931.95,254530818.44,367,467181,52
"SURQUILLO",56913268.81,53760359.03,110,120005,0
"VILLA EL SALVADOR",156726971.22,135489802.4,157,368628,17
"VILLA MARIA DEL TRIUNFO",127354702.96,102296624.96,139,361260,0
"BARRANCA",48908590.8,43886995.92,152,91000,6
"PARAMONGA",17350990.4,16434991.73,19,28000,2
"PATIVILCA",13295526.58,9540314.05,15,13000,0
"SUPE",15720139.97,11674415.07,43,20000,8
"SUPE PUERTO",6915782.95,6259907.66,13,10200,1
"CAJATAMBO",15373810.22,13077014.64,1,2500,0
"COPA",2886897.84,2353353.04,0,40,0
"GORGOR",2712985.99,2357147.54,0,40,0
"HUANCAPON",5591777.37,5466290.8,1,100,0
"MANAS",1797059.11,1179453.59,1,300,0
"CANTA",10264188.61,9013680.17,0,2000,0
"ARAHUAY",2833169.79,2463460.25,0,180,0
"HUAMANTANGA",1491034.06,1248055.73,2,50,0
"HUAROS",1502228.1,883470.31,0,50,0
"LACHAQUI",2800155.39,2265323.35,0,70,0
"SAN BUENAVENTURA",1614198.18,1244756.6,0,50,0
"SANTA ROSA DE QUIVES",5982837.36,3820778.16,5,4500,2
"SAN VICENTE DE CAÑETE",80970348.03,59646186.03,164,45000,0
"ASIA",37060819.63,26325723.31,18,7000,67
"CALANGO",4952159.7,4246881.08,5,2000,0
"CERRO AZUL",15059263.02,13095892.02,35,3990,11
"CHILCA",40438851.19,24020316.91,5,30000,0
"COAYLLO",3208684.93,2114334.8,0,1500,0
"IMPERIAL",23364462.03,19095724.08,91,40000,45
"LUNAHUANA",7824129.84,4931640.19,10,4050,0
"MALA",48570050.01,27551012.53,69,41564,26
"NUEVO IMPERIAL",18375992.89,15948684.91,27,9000,0
"PACARAN",13563700.77,12501629.41,0,890,0
"QUILMANA",14165849.97,11506576.73,29,20600,3
"SAN ANTONIO",16915646.57,8486219.72,20,4900,0
"SAN LUIS",13942162.46,9540698.52,5,6000,0
"SANTA CRUZ DE FLORES",13696402.6,12954430.17,6,2500,0
"ZUÑIGA",6550928.56,3408216.52,1,2500,0
"HUARAL",141555011.98,51345403.73,192,92586,0
"ATAVILLOS ALTO",2293091.09,1664601.78,0,75,0
"ATAVILLOS BAJO",2061810.7,1941488.43,0,550,0
"AUCALLAMA",14086884.27,12952977.92,13,18000,3
"CHANCAY",51446495.56,39056049.38,95,45000,25
"IHUARI",9164322.7,8611847.32,0,52,0
"LAMPIAN",2609109.65,2390260.67,0,100,0
"PACARAOS",4837371.54,4415285.23,0,13798.4666666667,0
"SAN MIGUEL DE ACOS",1374191.07,1243649.31,0,760,0
"SANTA CRUZ DE ANDAMARCA",4975898.34,3838341.96,0,250,0
"SUMBILCA",4547827.99,2964857.09,0,200,0
"VEINTISIETE DE NOVIEMBRE",1777344.39,1582486.37,0,325,0
"MATUCANA",62012114.54,62611185.92,18,4500,0
"ANTIOQUIA",4308048.78,3923513.07,0,700,0
"CALLAHUANCA",6222635.54,5744275.95,0,160,0
"CARAMPOMA",3489259.66,2164851.89,0,450,0
"CHICLA",8186136.68,3704987.85,0,1200,0
"CUENCA",1350145.53,1357886.44,0,600,0
"HUACHUPAMPA",3022448.15,4371971.56,0,100,0
"HUANZA",3461359.96,2326772.61,0,156,0
"HUAROCHIRI",2593878.27,2454597.63,0,500,0
"LAHUAYTAMBO",1258678.56,1184943.93,0,25,0
"LANGA",1383883.73,1206169.81,0,45,0
"SAN PEDRO DE LARAOS",5428647.74,5136958.15,0,120,0
"MARIATANA",2837143.44,2463381.06,0,165,0
"RICARDO PALMA",4470925.58,4239319.47,1,5700,0
"SAN ANDRES DE TUPICOCHA",6950898.41,6395377.24,0,800,0
"SAN ANTONIO",24777227.79,26318135.53,30,50000,0
"SAN BARTOLOME",7904717.62,7367186.15,0,856,0
"SAN DAMIAN",3266494.42,2823633.98,0,80,0
"SAN JUAN DE IRIS",1772429.97,1509171.94,0,150,0
"SAN JUAN DE TANTARANCHE",2596171.36,1987495.23,0,20,0
"SAN LORENZO DE QUINTI",1894650.62,1907307.32,0,320,1
"SAN MATEO",8653252.63,7057179.79,0,2000,1
"SAN MATEO DE OTAO",2121118.48,2069881.13,0,15,0
"SAN PEDRO DE CASTA",8645629.5,8298129.05,0,150,0
"SAN PEDRO DE HUANCAYRE",1257068.78,1027041.3,2,200,0
"SANGALLAYA",4492447.92,4480465.29,0,345,0
"SANTA CRUZ DE COCACHACRA",8210596.73,6862334.18,0,3000,0
"SANTA EULALIA",19679331.41,17448472.96,0,10000,0
"SANTIAGO DE ANCHUCAYA",1873200,1802694.99,0,91,0
"SANTIAGO DE TUNA",5869674.54,5864467.12,0,70,0
"SANTO DOMINGO DE LOS OLLEROS",8947204.99,5796785.55,0,2800,0
"SURCO",4423798.31,3411276.76,1,2500,0
"HUACHO",65196628.11,46069023.44,58,7200,26
"AMBAR",4899441.97,4050583,2,60,1
